"date","number of stocks transacted","money","open","high","low","close","up down","volume",
"109/11/02","34,539,576","14,901,775,161","433.00","435.50","428.00","435.50","+3.50","35,704",
"109/11/03","31,461,727","13,852,498,196","439.50","443.00","438.00","441.00","+5.50","21,031",
"109/11/04","37,929,652","16,969,841,989","444.50","451.50","443.00","450.00","+9.00","30,087",
"109/11/05","36,539,446","16,404,944,484","451.50","451.50","445.50","451.00","+1.00","24,764",
"109/11/06","32,644,190","14,788,989,058","455.00","455.50","450.00","452.50","+1.50","20,999",
"109/11/09","43,415,670","19,865,414,906","458.00","460.00","454.00","458.50","+6.00","27,868",
"109/11/10","36,786,882","16,610,287,996","452.00","454.50","448.50","451.00","-7.50","31,009",
"109/11/11","40,355,804","18,326,545,251","448.50","457.00","448.50","457.00","+6.00","23,150",
"109/11/12","57,993,774","26,690,353,577","463.00","463.50","457.50","458.00","+1.00","28,011",
"109/11/13","31,483,881","14,478,873,331","459.00","462.00","456.50","462.00","+4.00","21,663",
"109/11/16","83,380,911","39,658,459,663","470.00","484.50","469.00","484.00","+22.00","67,363",
"109/11/17","75,763,870","37,446,278,783","502.00","506.00","485.50","485.50","+1.50","68,560",
"109/11/18","56,607,501","27,883,387,314","490.00","497.00","486.50","497.00","+11.50","38,186",
"109/11/19","47,345,316","23,320,435,165","499.00","499.00","490.00","490.00","-7.00","40,198",
"109/11/20","35,242,579","17,191,897,556","486.00","490.00","486.00","488.00","-2.00","30,557",
"109/11/23","43,708,352","21,661,263,304","494.50","498.50","492.00","496.50","+8.50","26,794",
"109/11/24","38,630,079","19,113,408,398","499.50","500.00","491.50","492.00","-4.50","34,407",
"109/11/25","47,179,640","23,142,083,458","495.00","495.50","487.00","487.00","-5.00","40,066",
